t,0,1,2,3,4,5,6,7,8,9
398.2238,-0.057653442,-0.09418196,-0.12234853,-0.03322775,-0.0831794,-0.08158402,-0.103314094,-0.12933517,-0.036913607,-0.054352675
398.4488,-0.105569616,-0.092146486,-0.12014802,-0.0926416,-0.09968325,-0.10127862,-0.10281897,-0.13868734,-0.09517219,-0.08268428
398.67377,-0.17373051,-0.10562463,-0.12999532,-0.16146265,-0.13709196,-0.15057011,-0.13632178,-0.13412127,-0.16278295,-0.12972026
398.89874,-0.25140864,-0.15640147,-0.1792318,-0.23176904,-0.20374002,-0.22525002,-0.20651816,-0.16712897,-0.23795798,-0.19309503
399.12375,-0.31871682,-0.22313203,-0.24901557,-0.29984742,-0.27267107,-0.2967942,-0.2846914,-0.22970606,-0.31849676,-0.2495932
399.34872,-0.35708827,-0.27423894,-0.30697158,-0.34809366,-0.3182492,-0.34107953,-0.33258006,-0.29275078,-0.3803862,-0.2877721
399.5737,-0.37972605,-0.30512866,-0.34726846,-0.36941114,-0.3464708,-0.36423993,-0.35213712,-0.34891886,-0.4078101,-0.31035486
399.7987,-0.3953772,-0.31621373,-0.36600035,-0.3735646,-0.36434996,-0.37857077,-0.3628371,-0.37345457,-0.41006562,-0.32267773
400.02368,-0.41237617,-0.3404744,-0.39865047,-0.38156897,-0.3936993,-0.405252,-0.39606485,-0.40071344,-0.41270623,-0.34303248
400.24866,-0.4030515,-0.35276976,-0.41449416,-0.3682834,-0.39953065,-0.40668234,-0.40426177,-0.41658464,-0.39812782,-0.34374765
400.47366,-0.3889407,-0.34853378,-0.40929544,-0.35301733,-0.39248902,-0.3970826,-0.39587232,-0.41650212,-0.38577744,-0.33519316
400.69864,-0.3958173,-0.3504317,-0.40893784,-0.35920626,-0.39881548,-0.40277642,-0.40153864,-0.41185352,-0.3940569,-0.33981425
400.9236,-0.39771524,-0.34630576,-0.4008785,-0.35843608,-0.39521214,-0.39988825,-0.39961317,-0.39427695,-0.3992831,-0.33678854
401.14862,-0.40706742,-0.3499366,-0.40280393,-0.36217695,-0.39474455,-0.40063092,-0.4035466,-0.3902885,-0.41625455,-0.3371186
401.3736,-0.4284124,-0.36038902,-0.41496176,-0.3795885,-0.40049338,-0.40935045,-0.4129813,-0.40514198,-0.44970235,-0.34515047
